PDS_VERSION_ID               = PDS3

/* File characteristic keywords */
RECORD_TYPE                  = STREAM

/* Identification data elements */
DATA_SET_ID                  = "SDU-C/D-CIDA-2/3-NEXT-TEMPEL1-V1.0"
PRODUCT_ID                   = "KEEP_T20050611_T20110214.TAB"
PRODUCT_TYPE                 = "ANCILLARY"
INSTRUMENT_NAME              = "COMETARY AND INTERSTELLAR DUST ANALYZER"
INSTRUMENT_ID                = "CIDA"
INSTRUMENT_HOST_NAME         = "STARDUST"
TARGET_NAME                  = "N/A"
START_TIME                   = 2005-06-10T17:03:50
STOP_TIME                    = 2011-02-14T05:00:51
SPACECRAFT_CLOCK_START_COUNT = " 802890591"
SPACECRAFT_CLOCK_STOP_COUNT  = " 982127265"
PRODUCT_CREATION_TIME        = 2012-05-13 

/* Descriptive data elements */
DESCRIPTION                  = "CIDA configuration parameters"

/* Pointers to data objects */
^TABLE                       = 1913<BYTES>

OBJECT                       = TABLE
        NAME                 = CIDA_KEEPALIVE
        INTERCHANGE_FORMAT   = ASCII
        ROW_BYTES            = 2532
        ROWS                 =     60
        COLUMNS              = 131
        OBJECT               = CONTAINER
                NAME         = CIDA_HEADER_DATA
                START_BYTE   = 1
                BYTES        = 250
                REPETITIONS  = 1
                DESCRIPTION  = "CIDA header"
                ^STRUCTURE   = "CIDA_HEADER.FMT"
        END_OBJECT           = CONTAINER
        OBJECT               = CONTAINER
                NAME         = CIDA_KEEPALIVE_DATA
                START_BYTE   = 251
                BYTES        = 2280
                REPETITIONS  = 1
                DESCRIPTION  = "CIDA configuration parameters"
                ^STRUCTURE   = "CIDA_KEEPALIVE.FMT"
        END_OBJECT           = CONTAINER
END_OBJECT                   = TABLE

END
2005-06-10T17:03:50 , 30,1,0,1,0,1,0,0, 2, 802890591,      8280,65535,255,  0,  0,         0,         0,         0,         3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,  8, 60, 2,195,  0, 0.0, 0.0,0,0,0,0,0,0,0,130,110,120,110,21004,21004,21004,21004,21004,21004,  -55845881,          2, 1213615947,          0,          0,          1,          1,          1,          1,          1,         60,          8,        110,        120,        110,        130,        110,        120,        110,        130,          1,          1,          1,          1,          1,         60,          8,        110,        120,        110,        130,        110,        120,        110,        130,          1,          0,          2,          8,        193,     600000,          1,         15,          0,          0,      65535,      33860,      33095,      33041,      32986,      32931,      32877,      32822,      32768,      32713,      32658,      32604,      32549,      32495,      32440,      31676,         -1,      65316,        218,        218,          1,         -1,          0,          0,          0,          0,       2000,       2000, 2147483647,        200,          0,          3,          3,        200,          4,          0,          0,          4,   -0.12941,    0.22414,    0.83652,    0.48296,   -0.48296,    0.83652,   -0.22414,   -0.12941,         32,         16,      33314,      32495,     259200,         -1, 2147483647,         -1,   16777216,         -1,-2080365566,         -1,   16781312,         -1,     820224,         -1,      16416,         -1,   16777216,         -1,    2755666,         -1,     524292,         -1,  134217747,         -1,       6272,         -1,  276825120,         -1,         32,         -1,   26223104,         -1,     131592,         -1,    1130669,         -1,  134221824,         -1, 1073742088,         -1,   34144288,         -1,   33625104,         -1,  268435457,         -1,      65600,         -1,  687875072,         -1,   61538820,         -1,  369434644,         -1,       4096,         -1,   38798784,         -1,    8520224,         -1, 1342312472,         -1,         65,         -1,   16846864,         -1,   84285568,         -1,       8232,         -1,-1006591680,         -1, 1342177346,         -1, 1124213120,         -1, 1679835664,         -1,  268698244,         -1,  537395712,         -1,-2002709904,         -1,  134283280,         -1,  290521088,         -1,  151003264,         -1,    2162689,         -1,  185209352,         -1,-2079836672,         -1,    8389124
2005-06-10T17:22:12 , 30,1,0,1,0,1,0,0, 2, 802891693,   1110695,65535,  0,  0,  0,         0,     10021,         0,        58,1,0,1,0,1,0,1,1,1,0,1,1,1,0,0,  4,  4,17, 78,162, 3.7, 1.2,0,0,0,1,0,0,1,144,114,136,102,54305,54305,54337,54337,54257,21488,-1367737696,          2, 1213615947,          0,          0,          1,          1,          1,          1,          1,          4,          4,        102,        136,        114,        144,        110,        120,        110,        130,          1,          1,          1,          1,          1,         60,          8,        110,        120,        110,        130,        110,        120,        110,        130,          1,        162,          2,          8,        193,       5000,          1,         15,          0,          0,      65535,      33860,      33095,      33041,      32986,      32931,      32877,      32822,      32768,      32713,      32658,      32604,      32549,      32495,      32440,      31676,         -1,      65316,        218,        218,          1,         -1,          0,          0,          0,          0,       2000,       2000, 2147483647,        200,          1,          3,          3,        200,          4,      10021,     -10021,          4,   -0.12941,    0.22414,    0.83652,    0.48296,   -0.48296,    0.83652,   -0.22414,   -0.12941,         32,         16,      33314,      32495,   16777215,          1,  819668686,         -1,   16777216,         -1,-2080365566,         -1,   16781312,         -1,     820224,         -1,      16416,         -1,   16777216,         -1,    2755666,         -1,     524292,         -1,  134217747,         -1,       6272,         -1,  276825120,         -1,         32,         -1,   26223104,         -1,     131592,         -1,    1130669,         -1,  134221824,         -1, 1073742088,         -1,   34144288,         -1,   33625104,         -1,  268435457,         -1,      65600,         -1,  687875072,         -1,   61538820,         -1,  369434644,         -1,       4096,         -1,   38798784,         -1,    8520224,         -1, 1342312472,         -1,         65,         -1,   16846864,         -1,   84285568,         -1,       8232,         -1,-1006591680,         -1, 1342177346,         -1, 1124213120,         -1, 1679835664,         -1,  268698244,         -1,  537395712,         -1,-2002709904,         -1,  134283280,         -1,  290521088,         -1,  151003264,         -1,    2162689,         -1,  185209352,         -1,-2079836672,         -1,    8389124
1980-01-01T00:00:00 , 30,0,0,1,0,1,0,0, 2,         0,       300,65535,255,  0,  0,         0,     10025,         0,         3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,  4,  4, 2,194,  0, 3.7, 1.2,0,0,0,0,0,0,0,144,114,136,102,65535,65535,65535,65535,65535,65535,-1353342698,          2, 1213615947,          0,          0,          1,          1,          1,          1,          1,          4,          4,        102,        136,        114,        144,        110,        120,        110,        130,          1,          1,          1,          1,          1,         60,          8,        110,        120,        110,        130,        110,        120,        110,        130,          1,        162,          2,          8,        193,   14400000,          1,         15,          0,          0,      65535,      33860,      33095,      33041,      32986,      32931,      32877,      32822,      32768,      32713,      32658,      32604,      32549,      32495,      32440,      31676,         -1,      65316,        218,        218,          2,         -2,          0,          0,          0,          0,       2000,       2000, 2147483647,        200,          1,          3,          3,        200,          4,      10025,     -10025,          4,   -0.12941,    0.22414,    0.83652,    0.48296,   -0.48296,    0.83652,   -0.22414,   -0.12941,         32,         16,      33314,      32495,   16777215,         -1,  819668686,         -1,   16777216,         -1,-2080365566,         -1,   16781312,         -1,     820224,         -1,      16416,         -1,   16777216,         -1,    2755666,         -1,     524292,         -1,  134217747,         -1,       6272,         -1,  276825120,         -1,         32,         -1,   26223104,         -1,     131592,         -1,    1130669,         -1,  134221824,         -1, 1073742088,         -1,   34144288,         -1,   33625104,         -1,  268435457,         -1,      65600,         -1,  687875072,         -1,   61538820,         -1,  369434644,         -1,       4096,         -1,   38798784,         -1,    8520224,         -1, 1342312472,         -1,         65,         -1,   16846864,         -1,   84285568,         -1,       8232,         -1,-1006591680,         -1, 1342177346,         -1, 1124213120,         -1, 1679835664,         -1,  268698244,         -1,  537395712,         -1,-2002709904,         -1,  134283280,         -1,  290521088,         -1,  151003264,         -1,    2162689,         -1,  185209352,         -1,-2079836672,         -1,    8389124
2005-09-01T11:42:21 , 30,1,0,1,0,1,0,0, 2, 810042516,      8461,65535,255,  0,  0,         0,         0,         0,         3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,  8, 60, 2,195,  0, 0.0, 0.0,0,0,0,0,0,0,0,130,110,120,110,21004,21004,21004,21004,21004,21004, 1208821993,          2, 1213615947,          0,          0,          1,          1,          1,          1,          1,         60,          8,        110,        120,        110,        130,        110,        120,        110,        130,          1,          1,          1,          1,          1,         60,          8,        110,        120,        110,        130,        110,        120,        110,        130,          1,          0,          2,          8,        193,     600000,          1,         15,          0,          0,      65535,      33860,      33095,      33041,      32986,      32931,      32877,      32822,      32768,      32713,      32658,      32604,      32549,      32495,      32440,      31676,         -1,      65316,        218,        218,          1,         -1,          0,          0,          0,          0,       2000,       2000, 2147483647,        200,          0,          3,          3,        200,          4,          0,          0,          4,   -0.12941,    0.22414,    0.83652,    0.48296,   -0.48296,    0.83652,   -0.22414,   -0.12941,         32,         16,      33314,      32495,     259200,         -1, 2147483647,         -1,   17129472,         -1,-2080299774,         -1,   18878464,         -1,   42779648,         -1,   34095392,         -1,  153223168,         -1,  137010387,         -1,  268964868,         -1,  135018515,         -5,      14482,         -1,  327222306,         -1, 1090521386,         -1,   13640208,      -4097,    8585993,         -1,    1558189,         -1,  134221824,         -1, 1073742088,         -1,   34144292,         -1,  302322832,         -1,  268435465,         -1,    4263248,         -1,  958424064,         -1,  128672308,         -1,  369958932,         -1,   17043528,         -1,   38864336,         -1,   12748322,         -1, 1880297496,         -1, 1073873089,         -1,   17633557,         -1,   84318592,         -1,    2634025,         -1,-1002134580,         -1, 1895837762,         -1, 1667670952,         -1, 1688355344,         -1,  304530052,         -1,  538509828,         -1,-1980007816,         -1,  134283288,         -1,  290537472,         -1,  470295192,         -1,    2163099,         -1,  185217544,         -1,-2079834608,         -1,   75506180
2005-09-01T12:00:44 , 30,1,0,1,0,1,0,0, 2, 810043619,   1110775,65535,  0,  0,  0,         0,     10025,         0,        58,1,0,1,0,1,0,1,1,1,0,1,1,1,0,0,  4,  4,17, 92,162, 3.7, 1.2,0,0,0,1,0,0,1,144,114,128,104,54305,54305,54337,54337,54257,21488,  -95917902,          2, 1213615947,          0,          0,          1,          1,          1,          1,          1,          4,          4,        104,        128,        114,        144,        110,        120,        110,        130,          1,          1,          1,          1,          1,         60,          8,        110,        120,        110,        130,        110,        120,        110,        130,          1,        162,          2,          8,        193,       5000,          1,         15,          0,          0,      65535,      33860,      33095,      33041,      32986,      32931,      32877,      32822,      32768,      32713,      32658,      32604,      32549,      32495,      32440,      31676,         -1,      65316,        218,        218,          1,         -1,          0,          0,          0,          0,       2000,       2000, 2147483647,        200,          1,          3,          3,        200,          4,      10025,     -10025,          4,   -0.12941,    0.22414,    0.83652,    0.48296,   -0.48296,    0.83652,   -0.22414,   -0.12941,         32,         16,      33314,      32495,   16777215,          1,  826820612,         -1,   17129472,         -1,-2080299774,         -1,   18878464,         -1,   42779648,         -1,   34095392,         -1,  153223168,         -1,  137010387,         -1,  268964868,         -1,  135018515,         -5,      14482,         -1,  327222306,         -1, 1090521386,         -1,   13640208,      -4097,    8585993,         -1,    1558189,         -1,  134221824,         -1, 1073742088,         -1,   34144292,         -1,  302322832,         -1,  268435465,         -1,    4263248,         -1,  958424064,         -1,  128672308,         -1,  369958932,         -1,   17043528,         -1,   38864336,         -1,   12748322,         -1, 1880297496,         -1, 1073873089,         -1,   17633557,         -1,   84318592,         -1,    2634025,         -1,-1002134580,         -1, 1895837762,         -1, 1667670952,         -1, 1688355344,         -1,  304530052,         -1,  538509828,         -1,-1980007816,         -1,  134283288,         -1,  290537472,         -1,  470295192,         -1,    2163099,         -1,  185217544,         -1,-2079834608,         -1,   75506180
1980-01-01T00:00:00 , 30,0,0,1,0,1,0,0, 2,         0,       300,65535,255,  0,  0,         0,     10025,         0,         3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,  4,  4, 2,194,  0, 3.6, 1.2,0,0,0,0,0,0,0,144,114,128,104,65535,65535,65535,65535,65535,65535,  -81522904,          2, 1213615947,          0,          0,          1,          1,          1,          1,          1,          4,          4,        104,        128,        114,        144,        110,        120,        110,        130,          1,          1,          1,          1,          1,         60,          8,        110,        120,        110,        130,        110,        120,        110,        130,          1,        162,          2,          8,        193,   14400000,          1,         15,          0,          0,      65535,      33860,      33095,      33041,      32986,      32931,      32877,      32822,      32768,      32713,      32658,      32604,      32549,      32495,      32440,      31676,         -1,      65316,        218,        218,          2,         -2,          0,          0,          0,          0,       2000,       2000, 2147483647,        200,          1,          3,          3,        200,          4,      10025,     -10025,          4,   -0.12941,    0.22414,    0.83652,    0.48296,   -0.48296,    0.83652,   -0.22414,   -0.12941,         32,         16,      33314,      32495,   16777215,         -1,  826820612,         -1,   17129472,         -1,-2080299774,         -1,   18878464,         -1,   42779648,         -1,   34095392,         -1,  153223168,         -1,  137010387,         -1,  268964868,         -1,  135018515,         -5,      14482,         -1,  327222306,         -1, 1090521386,         -1,   13640208,      -4097,    8585993,         -1,    1558189,         -1,  134221824,         -1, 1073742088,         -1,   34144292,         -1,  302322832,         -1,  268435465,         -1,    4263248,         -1,  958424064,         -1,  128672308,         -1,  369958932,         -1,   17043528,         -1,   38864336,         -1,   12748322,         -1, 1880297496,         -1, 1073873089,         -1,   17633557,         -1,   84318592,         -1,    2634025,         -1,-1002134580,         -1, 1895837762,         -1, 1667670952,         -1, 1688355344,         -1,  304530052,         -1,  538509828,         -1,-1980007816,         -1,  134283288,         -1,  290537472,         -1,  470295192,         -1,    2163099,         -1,  185217544,         -1,-2079834608,         -1,   75506180
