PDS_VERSION_ID               = PDS3

/* File characteristic keywords */
RECORD_TYPE                  = STREAM

/* Identification data elements */
DATA_SET_ID                  = "SDU-C/D-CIDA-2/3-NEXT-TEMPEL1-V1.0"
PRODUCT_ID                   = "HK_T20040213_T20110215.TAB"
PRODUCT_TYPE                 = "ANCILLARY"
INSTRUMENT_NAME              = "COMETARY AND INTERSTELLAR DUST ANALYZER"
INSTRUMENT_ID                = "CIDA"
INSTRUMENT_HOST_NAME         = "STARDUST"
TARGET_NAME                  = "N/A"
START_TIME                   = 2004-02-12T18:51:05
STOP_TIME                    = 2011-02-14T21:01:33
SPACECRAFT_CLOCK_START_COUNT = " 761079312"
SPACECRAFT_CLOCK_STOP_COUNT  = " 982216595"
PRODUCT_CREATION_TIME        = 2012-05-13 

/* Descriptive data elements */
DESCRIPTION                  = "CIDA housekeeping data"

/* Pointers to data objects */
^TABLE                       = 1882<BYTES>

OBJECT                       = TABLE
        NAME                 = CIDA_HOUSEKEEPING
        INTERCHANGE_FORMAT   = ASCII
        ROW_BYTES            = 463
        ROWS                 =   6370
        COLUMNS              = 83
        OBJECT               = CONTAINER
                NAME         = CIDA_HEADER
                START_BYTE   = 1
                BYTES        = 250
                REPETITIONS  = 1
                DESCRIPTION  = "CIDA header"
                ^STRUCTURE   = "CIDA_HEADER.FMT"
        END_OBJECT           = CONTAINER
        OBJECT               = CONTAINER
                NAME         = CIDA_HK
                START_BYTE   = 251
                BYTES        = 211
                REPETITIONS  = 1
                DESCRIPTION  = "CIDA housekeeping channels data"
                ^STRUCTURE   = "CIDA_HK.FMT"
        END_OBJECT           = CONTAINER
END_OBJECT                   = TABLE

END
2004-02-14T10:50:35 , 30,0,0,1,0,1,0,0, 2, 761223282, 777200575,65535,  0,  0,  0,         0,     30843,         0,       135,1,0,1,0,1,0,1,1,1,0,1,1,1,0,0,  4,  4,14,104,162, 3.7, 1.2,0,0,0,1,0,0,1,144,116,120,106,54337,54337,54584,22016,54305,54337,"HAUS",   5.350,  -5.075,   14.55,    5.35,   14.55,  -13.95,       0,      70,       0,   0.973,   0.050,   0.085,     236,     274,     305,     304,     305,     302,     324,     300,    3.68,    1.21,    0
2004-02-14T14:50:32 , 30,0,0,1,0,1,0,0, 2, 761237679, 791600677,65535,  0,  0,  0,         0,     30843,         0,       136,1,0,1,0,1,0,1,1,1,0,1,1,1,0,0,  4,  4,15,104,162, 3.6, 1.2,0,0,0,1,0,0,1,144,116,120,106,54337,54337,54584,22016,54305,54337,"HAUS",   5.350,  -5.075,   14.55,    5.35,   14.55,  -13.95,       0,      70,       0,   0.966,   0.050,   0.083,     236,     274,     306,     305,     306,     303,     325,     301,    3.68,    1.21,    0
2004-02-14T18:50:28 , 30,0,0,1,0,1,0,0, 2, 761252075, 806000778,65535,  0,  0,  0,         0,     30843,         0,       137,1,0,1,0,1,0,1,1,1,0,1,1,1,0,0,  4,  4,16,105,162, 3.6, 1.2,0,0,0,1,0,0,1,144,116,120,106,54337,54337,54584,22016,54305,54337,"HAUS",   5.350,  -5.075,   14.55,    5.35,   14.55,  -13.95,       0,      70,       0,   0.979,   0.055,   0.084,     236,     274,     306,     306,     306,     303,     326,     302,    3.68,    1.21,    0
2004-02-14T22:50:26 , 30,0,0,1,0,1,0,0, 2, 761266473, 820400879,65535,  0,  0,  0,         0,     30843,         0,       138,1,0,1,0,1,0,1,1,1,0,1,1,1,0,0,  4,  4,17,101,162, 3.7, 1.2,0,0,0,1,0,0,1,144,116,120,106,54337,54337,54584,22016,54305,54337,"HAUS",   5.350,  -5.075,   14.55,    5.35,   14.55,  -13.95,       0,      70,       0,   0.973,   0.053,   0.083,     235,     274,     305,     304,     305,     302,     324,     301,    3.68,    1.21,    0
2004-02-15T02:50:23 , 30,0,0,1,0,1,0,0, 2, 761280870, 834800980,65535,  0,  0,  0,         0,     30843,         0,       139,1,0,1,0,1,0,1,1,1,0,1,1,1,0,0,  4,  4,18,121,162, 3.7, 1.2,0,0,0,1,0,0,1,144,116,120,106,54337,54337,54584,22016,54305,54337,"HAUS",   5.350,  -5.075,   14.55,    5.35,   14.55,  -13.95,       0,      70,       0,   0.973,   0.053,   0.081,     235,     273,     303,     302,     303,     300,     322,     298,    3.68,    1.21,    0
2004-02-15T06:50:19 , 30,0,0,1,0,1,0,0, 2, 761295266, 849201082,65535,  0,  0,  0,         0,     30843,         0,       140,1,0,1,0,1,0,1,1,1,0,1,1,1,0,0,  4,  4,19, 96,162, 3.7, 1.2,0,0,0,1,0,0,1,144,116,120,106,54337,54337,54584,22016,54305,54337,"HAUS",   5.350,  -5.075,   14.55,    5.35,   14.55,  -13.95,       0,      69,       0,   0.979,   0.052,   0.085,     235,     274,     302,     301,     301,     299,     321,     297,    3.64,    1.21,    0
2004-02-15T10:50:16 , 30,0,0,1,0,1,0,0, 2, 761309663, 863601183,65535,  0,  0,  0,         0,     30843,         0,       141,1,0,1,0,1,0,1,1,1,0,1,1,1,0,0,  4,  4, 0,214,162, 3.7, 1.2,0,0,0,1,0,0,1,144,116,120,106,54337,54337,54584,22016,54305,54337,"HAUS",   5.350,  -5.075,   14.55,    5.35,   14.55,  -13.95,       0,      70,       0,   0.979,   0.054,   0.085,     236,     273,     301,     300,     300,     298,     320,     296,    3.64,    1.21,    0
2004-02-15T14:50:13 , 30,0,0,1,0,1,0,0, 2, 761324061, 878001286,65535,  0,  0,  0,         0,     30843,         0,       142,1,0,1,0,1,0,1,1,1,0,1,1,1,0,0,  4,  4, 1,203,162, 3.7, 1.2,0,0,0,1,0,0,1,144,116,120,106,54337,54337,54584,22016,54305,54337,"HAUS",   5.350,  -5.075,   14.55,    5.35,   14.55,  -13.95,       0,      70,       0,   0.979,   0.053,   0.085,     236,     273,     303,     302,     303,     300,     322,     298,    3.68,    1.21,    0
2004-02-15T18:50:10 , 30,0,0,1,0,1,0,0, 2, 761338458, 892401386,65535,  0,  0,  0,         0,     30843,         0,       143,1,0,1,0,1,0,1,1,1,0,1,1,1,0,0,  4,  4, 2,194,162, 3.6, 1.2,0,0,0,1,0,0,1,144,116,120,106,54337,54337,54584,22016,54305,54337,"HAUS",   5.350,  -5.075,   14.55,    5.35,   14.55,  -13.95,       0,      70,       0,   0.973,   0.050,   0.083,     235,     274,     305,     304,     305,     301,     324,     300,    3.68,    1.21,    0
2004-02-15T22:50:06 , 30,0,0,1,0,1,0,0, 2, 761352854, 906801487,65535,  0,  0,  0,         0,     30843,         0,       144,1,0,1,0,1,0,1,1,1,0,1,1,1,0,0,  4,  4, 3,214,162, 3.7, 1.2,0,0,0,1,0,0,1,144,116,120,106,54337,54337,54584,22016,54305,54337,"HAUS",   5.350,  -5.075,   14.55,    5.35,   14.55,  -13.95,       0,      70,       0,   0.973,   0.054,   0.083,     236,     273,     304,     303,     304,     301,     323,     299,    3.64,    1.21,    0
