119, 16, -1, -1, -1,  110.264,    0.000,-9999.999,-9999.999,-9999.999,    0.000,0,-529.554
119, 16, -1, -1, -1,  110.264,    0.000,-9999.999,-9999.999,-9999.999,    0.000,0,-529.290
120, 16, -1, -1, -1,  113.064,    0.000,-9999.999,-9999.999,-9999.999,    0.000,0,-529.026
121, 16, -1, -1, -1,  115.923,    0.000,-9999.999,-9999.999,-9999.999,    0.000,0,-528.763
121, 15, -1, -1, -1,  115.923,   -0.281,-9999.999,-9999.999,-9999.999,   -0.281,0,-528.499
123, 16, -1, -1, -1,  121.830,    0.000,-9999.999,-9999.999,-9999.999,    0.000,0,-528.235
124, 16, -1, -1, -1,  124.879,    0.000,-9999.999,-9999.999,-9999.999,    0.000,0,-527.971
125, 16, -1, -1, -1,  127.993,    0.000,-9999.999,-9999.999,-9999.999,    0.000,0,-527.708
127, 16, -1, -1, -1,  134.424,    0.000,-9999.999,-9999.999,-9999.999,    0.000,0,-527.444
127, 16, -1, -1, -1,  134.424,    0.000,-9999.999,-9999.999,-9999.999,    0.000,0,-527.181
127, 16, -1, -1, -1,  134.424,    0.000,-9999.999,-9999.999,-9999.999,    0.000,0,-526.917
128, 16, -1, -1, -1,  137.743,    0.000,-9999.999,-9999.999,-9999.999,    0.000,0,-526.654
128, 16, -1, -1, -1,  137.743,    0.000,-9999.999,-9999.999,-9999.999,    0.000,0,-526.391
129, 16, -1, -1, -1,  141.133,    0.000,-9999.999,-9999.999,-9999.999,    0.000,0,-526.127
128, 16, -1, -1, -1,  137.743,    0.000,-9999.999,-9999.999,-9999.999,    0.000,0,-525.864
128, 16, -1, -1, -1,  137.743,    0.000,-9999.999,-9999.999,-9999.999,    0.000,0,-525.601
127, 16, -1, -1, -1,  134.424,    0.000,-9999.999,-9999.999,-9999.999,    0.000,0,-525.338
127, 16, -1, -1, -1,  134.424,    0.000,-9999.999,-9999.999,-9999.999,    0.000,0,-525.075
126, 16, -1, -1, -1,  131.174,    0.000,-9999.999,-9999.999,-9999.999,    0.000,0,-524.812
125, 15, -1, -1, -1,  127.993,   -0.281,-9999.999,-9999.999,-9999.999,   -0.281,0,-524.549
123, 16, -1, -1, -1,  121.830,    0.000,-9999.999,-9999.999,-9999.999,    0.000,0,-524.286
122, 16, -1, -1, -1,  118.845,    0.000,-9999.999,-9999.999,-9999.999,    0.000,0,-524.024
120, 16, -1, -1, -1,  113.064,    0.000,-9999.999,-9999.999,-9999.999,    0.000,0,-523.761
119, 16, -1, -1, -1,  110.264,    0.000,-9999.999,-9999.999,-9999.999,    0.000,0,-523.499
118, 15, -1, -1, -1,  107.524,   -0.281,-9999.999,-9999.999,-9999.999,   -0.281,0,-523.236
118, 16, -1, -1, -1,  107.524,    0.000,-9999.999,-9999.999,-9999.999,    0.000,0,-522.974
117, 16, -1, -1, -1,  104.842,    0.000,-9999.999,-9999.999,-9999.999,    0.000,0,-522.711
117, 15, -1, -1, -1,  104.842,   -0.281,-9999.999,-9999.999,-9999.999,   -0.281,0,-522.449
117, 16, -1, -1, -1,  104.842,    0.000,-9999.999,-9999.999,-9999.999,    0.000,0,-522.187
118, 16, -1, -1, -1,  107.524,    0.000,-9999.999,-9999.999,-9999.999,    0.000,0,-521.925
119, 16, -1, -1, -1,  110.264,    0.000,-9999.999,-9999.999,-9999.999,    0.000,0,-521.662
119, 16, -1, -1, -1,  110.264,    0.000,-9999.999,-9999.999,-9999.999,    0.000,0,-521.400
120, 15, -1, -1, -1,  113.064,   -0.281,-9999.999,-9999.999,-9999.999,   -0.281,0,-521.138
121, 16, -1, -1, -1,  115.923,    0.000,-9999.999,-9999.999,-9999.999,    0.000,0,-520.877
122, 16, -1, -1, -1,  118.845,    0.000,-9999.999,-9999.999,-9999.999,    0.000,0,-520.615
122, 16, -1, -1, -1,  118.845,    0.000,-9999.999,-9999.999,-9999.999,    0.000,0,-520.353
123, 16, -1, -1, -1,  121.830,    0.000,-9999.999,-9999.999,-9999.999,    0.000,0,-520.091
123, 15, -1, -1, -1,  121.830,   -0.281,-9999.999,-9999.999,-9999.999,   -0.281,0,-519.830
123, 16, -1, -1, -1,  121.830,    0.000,-9999.999,-9999.999,-9999.999,    0.000,0,-519.568
124, 16, -1, -1, -1,  124.879,    0.000,-9999.999,-9999.999,-9999.999,    0.000,0,-519.306
124, 15, -1, -1, -1,  124.879,   -0.281,-9999.999,-9999.999,-9999.999,   -0.281,0,-519.045
126, 16, -1, -1, -1,  131.174,    0.000,-9999.999,-9999.999,-9999.999,    0.000,0,-518.784
127, 16, -1, -1, -1,  134.424,    0.000,-9999.999,-9999.999,-9999.999,    0.000,0,-518.522
127, 16, -1, -1, -1,  134.424,    0.000,-9999.999,-9999.999,-9999.999,    0.000,0,-518.261
127, 16, -1, -1, -1,  134.424,    0.000,-9999.999,-9999.999,-9999.999,    0.000,0,-518.000
127, 16, -1, -1, -1,  134.424,    0.000,-9999.999,-9999.999,-9999.999,    0.000,0,-517.739
128, 16, -1, -1, -1,  137.743,    0.000,-9999.999,-9999.999,-9999.999,    0.000,0,-517.478
128, 15, -1, -1, -1,  137.743,   -0.281,-9999.999,-9999.999,-9999.999,   -0.281,0,-517.217
127, 15, -1, -1, -1,  134.424,   -0.281,-9999.999,-9999.999,-9999.999,   -0.281,0,-516.956
127, 15, -1, -1, -1,  134.424,   -0.281,-9999.999,-9999.999,-9999.999,   -0.281,0,-516.695
127, 15, -1, -1, -1,  134.424,   -0.281,-9999.999,-9999.999,-9999.999,   -0.281,0,-516.434
127, 15, -1, -1, -1,  134.424,   -0.281,-9999.999,-9999.999,-9999.999,   -0.281,0,-516.173
127, 16, -1, -1, -1,  134.424,    0.000,-9999.999,-9999.999,-9999.999,    0.000,0,-515.913
126, 16, -1, -1, -1,  131.174,    0.000,-9999.999,-9999.999,-9999.999,    0.000,0,-515.652
126, 16, -1, -1, -1,  131.174,    0.000,-9999.999,-9999.999,-9999.999,    0.000,0,-515.392
126, 16, -1, -1, -1,  131.174,    0.000,-9999.999,-9999.999,-9999.999,    0.000,0,-515.131
